本能期训练报告 —— 站立任务
时间: 2026-09-05 18:20:00
本能区连接数: 582 | 每代婴儿: 96 x 2回合 | 最长回合: 3.0 秒
参数: 起步扰动 0.35 -> 最小 0.02 | 成功标准 2.6 秒

第 426 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 430 代 | 本代最佳 1.02 秒 | 精英平均 0.74 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 11 秒
第 440 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 11 秒
第 450 代 | 本代最佳 0.95 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 11 秒
第 460 代 | 本代最佳 1.01 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 11 秒
第 470 代 | 本代最佳 1.02 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 12 秒
第 480 代 | 本代最佳 1.04 秒 | 精英平均 0.97 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 12 秒
第 490 代 | 本代最佳 1.08 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 12 秒
第 500 代 | 本代最佳 1.01 秒 | 精英平均 0.95 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 12 秒
第 510 代 | 本代最佳 1.01 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 13 秒
第 520 代 | 本代最佳 1.12 秒 | 精英平均 1.00 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 13 秒
第 530 代 | 本代最佳 1.05 秒 | 精英平均 1.00 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 13 秒
第 540 代 | 本代最佳 1.00 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 13 秒
第 546 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 550 代 | 本代最佳 0.93 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 14 秒
第 560 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 14 秒
第 570 代 | 本代最佳 0.90 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 14 秒
第 580 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 14 秒
第 590 代 | 本代最佳 0.96 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 15 秒
第 600 代 | 本代最佳 1.03 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 15 秒
第 610 代 | 本代最佳 0.90 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 15 秒
第 620 代 | 本代最佳 0.95 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 15 秒
第 630 代 | 本代最佳 1.01 秒 | 精英平均 0.93 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 15 秒
第 640 代 | 本代最佳 0.99 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 16 秒
第 650 代 | 本代最佳 0.91 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 16 秒
第 660 代 | 本代最佳 0.92 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 16 秒
第 666 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 670 代 | 本代最佳 0.69 秒 | 精英平均 0.55 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 16 秒
第 680 代 | 本代最佳 0.91 秒 | 精英平均 0.79 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 17 秒
第 690 代 | 本代最佳 0.89 秒 | 精英平均 0.85 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 17 秒
第 700 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 17 秒
第 710 代 | 本代最佳 0.95 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 17 秒
第 720 代 | 本代最佳 1.02 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 17 秒
第 730 代 | 本代最佳 1.01 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 18 秒
第 740 代 | 本代最佳 1.10 秒 | 精英平均 0.97 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 18 秒
第 750 代 | 本代最佳 1.03 秒 | 精英平均 0.96 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 18 秒
第 760 代 | 本代最佳 1.11 秒 | 精英平均 0.99 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 18 秒
第 770 代 | 本代最佳 1.07 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 19 秒
第 780 代 | 本代最佳 1.04 秒 | 精英平均 1.00 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 19 秒
第 786 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 790 代 | 本代最佳 0.99 秒 | 精英平均 0.84 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 19 秒
第 800 代 | 本代最佳 0.89 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 19 秒
第 810 代 | 本代最佳 0.96 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 20 秒
第 820 代 | 本代最佳 0.94 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 20 秒
第 830 代 | 本代最佳 0.90 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 20 秒
第 840 代 | 本代最佳 0.94 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 20 秒
第 850 代 | 本代最佳 0.92 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 21 秒
第 860 代 | 本代最佳 0.94 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 21 秒
第 870 代 | 本代最佳 0.99 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 21 秒
第 880 代 | 本代最佳 1.15 秒 | 精英平均 0.94 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 21 秒
第 890 代 | 本代最佳 1.01 秒 | 精英平均 0.91 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 22 秒
第 900 代 | 本代最佳 0.97 秒 | 精英平均 0.93 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 22 秒
第 906 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 910 代 | 本代最佳 0.91 秒 | 精英平均 0.86 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 22 秒
第 920 代 | 本代最佳 0.93 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 22 秒
